status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
171955186207193_1309547592447941,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1309547592447941/?type=3',b'https://www.facebook.com/Intelvision/posts/1309547592447941:0',2017-06-16 07:45:05,14,0,0,13,1,0,0,0,0
171955186207193_1309530649116302,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1309530649116302/?type=3',b'https://www.facebook.com/Intelvision/posts/1309530649116302:0',2017-06-16 07:19:18,11,2,0,11,0,0,0,0,0
171955186207193_1307719245964109,"b'Dear Valued Customers, \n\nPlease see below our opening Hours for this upcoming Public holidays period.\n\nThursday 15th June - close\nFriday 16th June - 8:00am to 4;45pm\nSaturday 17th June - 8:00am - 11:45am\nSunday 18th June - 9:00am - 11:45am (Town Office only)\nMonday 19th June - Close'",,status,,b'https://www.facebook.com/Intelvision/posts/1307719245964109',2017-06-14 08:28:47,13,1,0,13,0,0,0,0,0
171955186207193_1306473516088682,b'International Football Friendly Tonight: France vs England on Special Events 3 Channel kick-off @ 11PM',,status,,b'https://www.facebook.com/Intelvision/posts/1306473516088682',2017-06-13 07:39:13,10,0,0,10,0,0,0,0,0
171955186207193_1305586259510741,b'Congratulations to all the winners & we thank all the participants who joined us into making this road race & fun day a success.',"b""Photos from Intelvision's post""",photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1305574439511923/?type=3',b'https://www.facebook.com/Intelvision/posts/1305586259510741',2017-06-12 06:14:38,23,0,1,22,1,0,0,0,0
171955186207193_1303661106369923,b'FIFA U20 World Cup Final: Sunday 11 June England vs Venezuela 2pm on Special Events2. Third place play-off Italy vs Uruguay 11am on Special Events2.',,status,,b'https://www.facebook.com/Intelvision/posts/1303661106369923',2017-06-10 02:59:50,7,0,0,7,0,0,0,0,0
171955186207193_1302982639771103,"b""Eye-popping opulence in a sumptuous thriller. Be ready when the must-watch drama arrives on our shores. 'Riviera' begins Thursday, 15 June @ 11:55pm on Sky Atlantic""",,video,b'https://www.facebook.com/Intelvision/videos/1302982639771103/',b'https://www.facebook.com/Intelvision/videos/1302982639771103/',2017-06-09 06:56:34,8,1,0,8,0,0,0,0,0
171955186207193_1302945966441437,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1302945966441437/?type=3',b'https://www.facebook.com/Intelvision/posts/1302945966441437:0',2017-06-09 05:41:44,13,1,0,12,0,0,0,0,1
171955186207193_1301985846537449,b'FIFA U20 World Cup Semi Finals Live today: Uruguay v Venezuela @ 12:00pm followed by England v Italy @ 15:00pm on Special Events2 Channel.',,status,,b'https://www.facebook.com/Intelvision/posts/1301985846537449',2017-06-08 02:13:24,8,1,0,8,0,0,0,0,0
171955186207193_1301957466540287,,"b""Intelvision's cover photo""",photo,b'https://www.facebook.com/Intelvision/photos/a.278508528885191.59135.171955186207193/1301957426540291/?type=3',b'https://www.facebook.com/Intelvision/posts/1301957466540287',2017-06-08 01:04:40,10,0,0,9,0,0,0,0,1
