imdb_id,imdb_name,imdb_year,imdb_rating,imdb_outline
tt0111161,The Shawshank Redemption,1994,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
tt0068646,The Godfather,1972,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
tt0071562,The Godfather: Part II,1974,9,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba."
tt0468569,The Dark Knight,2008,9,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice."
tt0110912,Pulp Fiction,1994,8.9,"The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
tt0060196,"The Good, the Bad and the Ugly",1966,8.9,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
tt0108052,Schindler's List,1993,8.9,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans."
tt0050083,12 Angry Men,1957,8.9,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
tt0167260,The Lord of the Rings: The Return of the King,2003,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
tt0137523,Fight Club,1999,8.8,"An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more."
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,"After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke."
tt1375666,Inception,2010,8.8,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
tt0109830,Forrest Gump,1994,8.8,"Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him."
tt0073486,One Flew Over the Cuckoo's Nest,1975,8.7,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
tt0167261,The Lord of the Rings: The Two Towers,2002,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
tt0099685,Goodfellas,1990,8.7,Henry Hill and his friends work their way up through the mob hierarchy.
tt0076759,Star Wars: Episode IV - A New Hope,1977,8.7,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader."
tt0133093,The Matrix,1999,8.7,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
tt0047478,Seven Samurai,1954,8.7,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
tt0317248,City of God,2002,8.7,"Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer."
tt0114369,Se7en,1995,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi."
tt0114814,The Usual Suspects,1995,8.6,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup."
tt0102926,The Silence of the Lambs,1991,8.6,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
tt0064116,Once Upon a Time in the West,1968,8.6,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
tt0038650,It's a Wonderful Life,1946,8.6,An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.
tt1966507,Lana on the Brink,2011,,A gangster's girlfriend is forced to accept a marriage proposal.
tt0034583,Casablanca,1942,8.6,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications."
tt0069094,La più bella serata della mia vita,1972,7.1,A salesman chasing by car a beautiful female biker in order to flirt finds a castle where he is accused in a game trial for murder.
tt0082971,Raiders of the Lost Ark,1981,8.5,Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.
tt0054215,Psycho,1960,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
tt0120586,American History X,1998,8.6,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
tt0047396,Rear Window,1954,8.5,A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.
tt0021749,City Lights,1931,8.6,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
tt0120815,Saving Private Ryan,1998,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
