imdb_id,imdb_name,imdb_year,imdb_rating,imdb_outline
tt2017109,Banshee,2013,8.4,"Lucas Hood, an ex-con and master thief, assumes the identity of a murdered sheriff where he continues his criminal activities..."
tt3628584,Barbershop: The Next Cut,2016,5.9,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood."
tt3504064,Barbie: The Pearl Princess,2014,6.2,This is the tale of a young mermaid who is being raised by her aunt. This young mermaid has the power...
tt0379725,Capote,2005,7.4,"In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row."
tt3014866,Criminal,2016,6.3,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission."
tt0944947,Game of Thrones,2011,9.5,"While a civil war brews between several noble families in Westeros, the children of the former rulers of the land attempt to rise to power."
tt0462335,High-Rise,2015,5.8,Life for the residents of a tower block begins to run out of control.
tt1390411,In the Heart of the Sea,2015,6.9,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick."
tt2917388,Kidnapping Mr. Heineken,2015,6.1,"The inside story of the planning, execution, rousing aftermath and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken, which resulted in the largest ransom ever paid for an individual."
tt3405714,Mythica: A Quest for Heroes,2014,6.6,"The young magician Marek dreams of exciting adventures. When she meets the help-seeking priestess Teela she offers her assistance and provides a motley troupe. Together they go in search of Teela's sister, who was kidnapped by a wild ogre."
tt1028576,Secretariat,2010,7.2,"Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown."
tt2431438,Sense8,2015,8.4,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
tt4118584,Shades of Blue,2016,6.8,"Harlee Santos, a single-mother New York police officer, is forced to work in the FBI's anti-corruption task force whilst dealing with her own financial problems."
tt0287717,Spy Kids 2: Island of Lost Dreams,2002,5.1,"The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids."
tt5909308,Days of Tafree,2016,8,"The movie revolves around the lives of eight friends and their journey of growing up while they face the highs and lows of their relationships, love and romance, the end of their college days and the beginning of a new life."
tt2654620,The Strain,2014,7.5,A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.
tt0462465,Outlander,2008,6.3,"During the reign of the Vikings, Kainan, a man from a far-off world, crash lands on Earth, bringing with him an alien predator known as the Moorwen. Though both man and monster are seeking revenge for violence committed against them, Kainan leads the alliance to kill the Moorwen by fusing his advanced technology with the Viking's Iron Age weaponry."
