imdb_id,imdb_name,imdb_year,imdb_rating,imdb_genre,imdb_cast,imdb_outline
tt3149038,A Brilliant Young Mind,2014,7.2,['Drama'],"[<Person: 'Asa Butterfield' ('nm2633535')>, <Person: 'Rafe Spall' ('nm1245863')>, <Person: 'Sally Hawkins' ('nm1020089')>, <Person: 'Eddie Marsan' ('nm0550371')>]",A socially awkward teenage math prodigy finds new confidence and new friendships when he lands a spot on the British squad at the International Mathematics Olympiad.
tt0120623,A Bug's Life,1998,7.2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","[<Person: 'Kevin Spacey' ('nm0000228')>, <Person: 'Dave Foley' ('nm0004929')>, <Person: 'Julia Louis-Dreyfus' ('nm0000506')>, <Person: 'Hayden Panettiere' ('nm0659363')>]","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
tt0163932,A Certain Justice,1998,7.4,"['Crime', 'Drama', 'Mystery']","[<Person: 'Roy Marsden' ('nm0550462')>, <Person: 'Ricci Harnett' ('nm0363658')>, <Person: 'Britta Smith' ('nm0807541')>, <Person: 'Philip Stone' ('nm0832104')>]",Dalgliesh and his team investigate the murder of a top flight lawyer with an abrasive reputation and turbulent private life.
tt4591840,A Christmas Star,2015,5.2,['Family'],"[<Person: 'Robert James-Collier' ('nm1674947')>, <Person: 'Suranne Jones' ('nm1013087')>, <Person: 'Bronagh Waugh' ('nm2391026')>, <Person: 'Erin Galway-Kendrick' ('nm6794870')>]","Born under the Christmas Star, Noelle believes she has the gift to perform miracles, so when conniving..."
tt0085334,A Christmas Story,1983,8,"['Comedy', 'Family']","[<Person: 'Peter Billingsley' ('nm0082526')>, <Person: 'Melinda Dillon' ('nm0227039')>, <Person: 'Darren McGavin' ('nm0569000')>, <Person: 'Scott Schwartz' ('nm0777432')>]","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift."
tt1280558,A Wednesday,2008,8.3,"['Crime', 'Drama', 'Mystery', 'Thriller']","[<Person: 'Anupam Kher' ('nm0451600')>, <Person: 'Naseeruddin Shah' ('nm0787462')>, <Person: 'Jimmy Shergill' ('nm0792116')>, <Person: 'Deepal Shaw' ('nm2064201')>]",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
tt2854894,A Fighting Man,2014,5.6,"['Drama', 'Sport']","[<Person: 'Dominic Purcell' ('nm0700712')>, <Person: 'Kim Coates' ('nm0167649')>, <Person: 'Louis Gossett Jr.' ('nm0001283')>, <Person: 'Adam Beach' ('nm0063440')>]",An aging fighter (Dominic Purcell) in search of redemption steps into the ring with a hungry young pugilist...
tt1606378,A Good Day to Die Hard,2013,5.3,"['Action', 'Thriller']","[<Person: 'Bruce Willis' ('nm0000246')>, <Person: 'Jai Courtney' ('nm2541974')>, <Person: 'Sebastian Koch' ('nm0462407')>, <Person: 'Mary Elizabeth Winstead' ('nm0935541')>]","John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces."
tt2243537,A Haunted House,2013,5.1,"['Comedy', 'Fantasy']","[<Person: 'Marlon Wayans' ('nm0005541')>, <Person: 'Essence Atkins' ('nm0040591')>, <Person: 'Marlene Forte' ('nm0287168')>, <Person: 'David Koechner' ('nm0462712')>]","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help."
tt1226240,A Late Quartet,2012,7.1,"['Drama', 'Music']","[<Person: 'Philip Seymour Hoffman' ('nm0000450')>, <Person: 'Christopher Walken' ('nm0000686')>, <Person: 'Catherine Keener' ('nm0001416')>, <Person: 'Mark Ivanir' ('nm0411980')>]","Members of a world-renowned string quartet struggle to stay together in the face of death, competing egos and insuppressible lust."
tt0458413,A Long Way Down,2014,6.4,"['Comedy', 'Drama']","[<Person: 'Pierce Brosnan' ('nm0000112')>, <Person: 'Toni Collette' ('nm0001057')>, <Person: 'Imogen Poots' ('nm1782299')>, <Person: 'Aaron Paul' ('nm0666739')>]",Four people meet on New Year's Eve and form a surrogate family to help one another with the difficulties of their lives.
tt2937898,A Most Violent Year,2014,7,"['Action', 'Crime', 'Drama', 'Thriller']","[<Person: 'Oscar Isaac' ('nm1209966')>, <Person: 'Jessica Chastain' ('nm1567113')>, <Person: 'David Oyelowo' ('nm0654648')>, <Person: 'Alessandro Nivola' ('nm0005273')>]","In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history."
tt1972571,A Most Wanted Man,2014,6.8,"['Crime', 'Drama', 'Thriller']","[<Person: 'Philip Seymour Hoffman' ('nm0000450')>, <Person: 'Rachel McAdams' ('nm1046097')>, <Person: 'Daniel Brühl' ('nm0117709')>, <Person: 'Robin Wright' ('nm0000705')>]","A Chechen Muslim illegally immigrates to Hamburg, where he gets caught in the international war on terror."
tt2308260,A Night in Old Mexico,2013,5.7,"['Adventure', 'Drama']","[<Person: 'Robert Duvall' ('nm0000380')>, <Person: 'Jeremy Irvine' ('nm3528539')>, <Person: 'Angie Cepeda' ('nm0148382')>, <Person: 'Luis Tosar' ('nm0869088')>]","After being forced to sell his family ranch to developers, a financially strapped but proud senior citizen and his estranged grandson find themselves targeted by drug dealers in search of a missing money bag."
tt2909748,A Nightingale Falling,2014,5.1,"['Drama', 'History', 'War']","[<Person: 'Tara Breathnach' ('nm2439076')>, <Person: 'Muireann Bird' ('nm2537159')>, <Person: 'Gerard McCarthy' ('nm2490263')>, <Person: 'Brian Fortune' ('nm1987270')>]","Set in Ireland during the War of Independence, two sisters lives are changed forever as they care for a wounded soldier. What transpires is a tragic love story of a household and its inhabitants, caught in the crucible of dark deep secrets."
tt0087800,A Nightmare on Elm Street,1984,7.5,['Horror'],"[<Person: 'Heather Langenkamp' ('nm0000486')>, <Person: 'Johnny Depp' ('nm0000136')>, <Person: 'Robert Englund' ('nm0000387')>, <Person: 'John Saxon' ('nm0768334')>]","Several people are hunted by a cruel serial killer who kills his victims in their dreams. While the survivors are trying to find the reason for being chosen, the murderer won't lose any chance to kill them as soon as they fall asleep."
tt0102749,A Rage in Harlem,1991,5.9,"['Comedy', 'Crime']","[<Person: 'Forest Whitaker' ('nm0001845')>, <Person: 'Gregory Hines' ('nm0002138')>, <Person: 'Robin Givens' ('nm0002101')>, <Person: 'Zakes Mokae' ('nm0596310')>]","A beautiful black gangster's moll flees to Harlem with a trunkload of gold after a shootout, unaware that the rest of the gang..."
tt1276419,A Royal Affair,2012,7.6,"['Biography', 'Drama', 'History', 'Romance']","[<Person: 'Alicia Vikander' ('nm2539953')>, <Person: 'Mads Mikkelsen' ('nm0586568')>, <Person: 'Mikkel Boe Følsgaard' ('nm3140538')>, <Person: 'Trine Dyrholm' ('nm0245988')>]","A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever."
tt1540741,A Single Shot,2013,5.8,"['Crime', 'Drama', 'Thriller']","[<Person: 'Sam Rockwell' ('nm0005377')>, <Person: 'Jeffrey Wright' ('nm0942482')>, <Person: 'Kelly Reilly' ('nm0717709')>, <Person: 'Jason Isaacs' ('nm0005042')>]",The tragic death of a beautiful young girl starts a tense and atmospheric game of cat and mouse between hunter John Moon and the hardened backwater criminals out for his blood.
tt0763831,A Thousand Words,2012,5.9,"['Comedy', 'Drama']","[<Person: 'Eddie Murphy' ('nm0000552')>, <Person: 'Cliff Curtis' ('nm0193295')>, <Person: 'Kerry Washington' ('nm0913488')>, <Person: 'Clark Duke' ('nm0241173')>]","After stretching the truth on a deal with a spiritual guru, literary agent Jack McCall finds a Bodhi tree on his property. Its appearance holds a valuable lesson on the consequences of every word he speaks."
tt0344510,A Very Long Engagement,2004,7.7,"['Drama', 'Mystery', 'Romance', 'War']","[<Person: 'Audrey Tautou' ('nm0851582')>, <Person: 'Gaspard Ulliel' ('nm0880484')>, <Person: 'Jodie Foster' ('nm0000149')>, <Person: 'Dominique Pinon' ('nm0684500')>]","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
tt0281358,A Walk to Remember,2002,7.4,"['Drama', 'Romance']","[<Person: 'Mandy Moore' ('nm0601553')>, <Person: 'Shane West' ('nm0922342')>, <Person: 'Peter Coyote' ('nm0001075')>, <Person: 'Daryl Hannah' ('nm0000435')>]","The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service."
