Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Center Director,canonical_Neighborhood,canonical_Address,canonical_Column,canonical_Eearly Head Start Fund,canonical_Funded Enrollment,canonical_Website,canonical_Program Name,canonical_Site name,canonical_Zip,canonical_Purple binder service type,canonical_Ounce of Prevention Description,canonical_Source,canonical_Number per Site EHS,canonical_Executive Director,canonical_Length of Day,canonical_Fax,canonical_Phone,canonical_Column2,canonical_Director,canonical_Email Address,canonical_ECE Available Programs,canonical_Program Option,canonical_Id,canonical_Head Start Fund,canonical_NAEYC Program Id,canonical_CC fund,canonical_Agency,canonical_IDHS Provider ID,canonical_NAEYC Valid Until,canonical_Number per Site HS,canonical_Progmod
0,1.0,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'near west side',b'1 n ogden',b'',b'barbara martin',b'salvation army',b'no',b'child care',b'salvation army - temple / salvation army',b'60607',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'2262649',b'child care',b'',b'',b'cp',b'near west side',b'1',b'',b'',b'no',b'',b'',b'',b'',b'no'
0,1.0,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'near west side',b'1 n ogden',b'',b'barbara martin',b'salvation army',b'no',b'child care',b'salvation army - temple / salvation army',b'60607',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'2262649',b'child care',b'',b'',b'cp',b'near west side',b'1',b'',b'',b'no',b'',b'',b'',b'',b'no'
2,1.0,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'10 s kedzie ave',b'',b'',b'',b'',b'child care',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'5339011',b'',b'',b'',b'',b'',b'2',b'',b'',b'',b'',b'',b'',b'',b''
2,1.0,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'10 s kedzie ave',b'',b'',b'',b'',b'child care',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'5339011',b'',b'',b'',b'',b'',b'2',b'',b'',b'',b'',b'',b'',b'',b''
3,1.0,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'10001 s woodlawn ave',b'',b'',b'',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'2916100',b'',b'',b'',b'',b'',b'513',b'',b'',b'',b'',b'',b'',b'',b''
3,1.0,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'10001 s woodlawn ave',b'',b'',b'',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'2916100',b'',b'',b'',b'',b'',b'513',b'',b'',b'',b'',b'',b'',b'',b''
4,1.0,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1001 w roosevelt rd',b'',b'',b'',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'9395115',b'',b'',b'',b'',b'',b'1161',b'',b'',b'',b'',b'',b'',b'',b''
4,1.0,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1001 w roosevelt rd',b'',b'',b'',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'9395115',b'',b'',b'',b'',b'',b'1161',b'',b'',b'',b'',b'',b'',b'',b''
5,1.0,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1020 w bryn mawr ave',b'',b'martha abarca',b'hull house association',b'no',b'child care',b'hull house association - uptown head start / hull house',b'60660',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'7027ps(hs collaboration with childcare & prek)',b'extended day',b'',b'7695753',b'',b'',b'',b'',b'edgewater',b'8',b'',b'',b'yes',b'',b'',b'',b'',b'no'
6,1.0,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1030 w van buren st',b'',b'',b'',b'',b'child care',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'9068600',b'',b'',b'',b'',b'',b'478',b'',b'',b'',b'',b'',b'',b'',b''
6,1.0,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1030 w van buren st',b'',b'',b'',b'',b'child care',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'9068600',b'',b'',b'',b'',b'',b'478',b'',b'',b'',b'',b'',b'',b'',b''
7,1.0,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'10509 s torrence ave',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - st. kevin',b'60617',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'3746466',b'child care',b'',b'',b'',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b''
7,1.0,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'10509 s torrence ave',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - st. kevin',b'60617',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'3746466',b'child care',b'',b'',b'',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b''
852,,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'near west side',b'1100 s may st',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - cordia marian',b'60607',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'6663787',b'child care',b'',b'',b'cp',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b''
8,1.0,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'near west side',b'1100 s may st',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - cordia marian',b'60607',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'6663787',b'child care',b'',b'',b'cp',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b''
